Facility_ID,Facility_Name,CO2e_kt,Unit_Count,direct_use_heat_breakeven_price_USD_per_MMBTU,geophires_summary,Unit_Temp_degC,Temp_3000m,Temp_plus15C_Available_3000m,Latitude,Longitude,Temp_Gradient_degC_per_km
1001804,MARTINEZ REFINING COMPANY LLC,10962.0,90,4.18,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 4.18, 'capex_million_USD': 55.45, 'opex_million_USD_per_year': 2.16}",220.0,250,true,38.02,-122.12,75.0
1007390,Martinez Renewable Fuel Facility,7063.0,168,4.18,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 4.18, 'capex_million_USD': 55.45, 'opex_million_USD_per_year': 2.16}",220.0,250,true,38.03,-122.07,75.0
1006395,SAN FRANCISCO REFINERY AT RODEO,7189.0,152,4.78,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 4.78, 'capex_million_USD': 50.09, 'opex_million_USD_per_year': 1.81}",220.0,250,true,38.04,-122.25,62.5
1006627,Los Angeles Refinery (LAR),19719.0,410,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,150,false,33.82,-118.23,37.5
1007329,TORRANCE REFINING COMPANY LLC,6042.0,156,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,150,false,33.85,-118.34,37.5
1006843,Phillips 66 Los Angeles Refinery - Wilmington Plant,5174.0,133,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,150,false,33.77,-118.29,37.5
1002461,ULTRAMAR INC WILMINGTON REFINERY,3413.0,40,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,150,false,33.78,-118.24,37.5
1008310,DIAMOND SHAMROCK REFINING VALERO,3332.0,344,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,150,false,28.46,-98.19,37.5
1001964,Phillips 66 Los Angeles Refinery - Carson Plant,3316.0,90,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",220.0,150,false,33.8,-118.24,37.5
1005938,"New-Indy Ontario, LLC",1403.0,78,8.28,"{'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.28, 'capex_million_USD': 39.95, 'opex_million_USD_per_year': 1.07}",150.0,150,false,34.05,-117.54,37.5
