Facility_ID,Facility_Name,CO2e_kt,Unit_Count,direct_use_heat_breakeven_price_USD_per_MMBTU,geophires_summary,Unit_Temp_degC,Temp_3000m,Temp_plus15C_Available_3000m,Latitude,Longitude,Temp_Gradient_degC_per_km
1001804,MARTINEZ REFINING COMPANY LLC,8639.0,52,4.18,"{'capex_million_USD': 55.45, 'opex_million_USD_per_year': 2.16, 'direct_use_heat_breakeven_price_USD_per_MMBTU': 4.18}",220.0,250,true,38.02,-122.12,75.0
1007390,Martinez Renewable Fuel Facility,5152.0,104,4.18,"{'capex_million_USD': 55.45, 'opex_million_USD_per_year': 2.16, 'direct_use_heat_breakeven_price_USD_per_MMBTU': 4.18}",220.0,250,true,38.03,-122.07,75.0
1006395,SAN FRANCISCO REFINERY AT RODEO,5508.0,100,4.78,"{'capex_million_USD': 50.09, 'opex_million_USD_per_year': 1.81, 'direct_use_heat_breakeven_price_USD_per_MMBTU': 4.78}",220.0,250,true,38.04,-122.25,62.5
1002916,ARCHER DANIEL MIDLAND COMPANY,845.0,21,8.4,"{'capex_million_USD': 38.84, 'opex_million_USD_per_year': 1.03, 'direct_use_heat_breakeven_price_USD_per_MMBTU': 8.4}",50.0,125,true,41.42,-97.29,37.5
1000401,Tate & Lyle-Loudon,368.0,30,10.74,"{'capex_million_USD': 28.48, 'opex_million_USD_per_year': 0.59, 'direct_use_heat_breakeven_price_USD_per_MMBTU': 10.74}",50.0,100,true,35.74,-84.32,37.5
1000304,CARGILL CORN MILLING-WAHPETON FACILITY,101.0,5,10.74,"{'capex_million_USD': 28.48, 'opex_million_USD_per_year': 0.59, 'direct_use_heat_breakeven_price_USD_per_MMBTU': 10.74}",50.0,100,true,46.37,-96.66,37.5
1005661,Archer Daniels Midland Co.,3104.0,45,20.38,"{'capex_million_USD': 35.06, 'opex_million_USD_per_year': 0.65, 'direct_use_heat_breakeven_price_USD_per_MMBTU': 20.38}",50.0,100,true,39.87,-88.89,25.0
1006047,ADM CORN PROCESSING,1719.0,39,20.38,"{'capex_million_USD': 35.06, 'opex_million_USD_per_year': 0.65, 'direct_use_heat_breakeven_price_USD_per_MMBTU': 20.38}",50.0,100,true,41.92,-91.69,25.0
1006637,CARGILL INCORPORATED,1320.0,14,20.38,"{'capex_million_USD': 35.06, 'opex_million_USD_per_year': 0.65, 'direct_use_heat_breakeven_price_USD_per_MMBTU': 20.38}",50.0,100,true,39.82,-84.17,25.0
1006208,ADM CORN PROCESSING,1303.0,48,20.38,"{'capex_million_USD': 35.06, 'opex_million_USD_per_year': 0.65, 'direct_use_heat_breakeven_price_USD_per_MMBTU': 20.38}",50.0,100,true,41.82,-90.21,25.0
1000261,Ingredion Incorporated Argo Plant,786.0,35,20.38,"{'capex_million_USD': 35.06, 'opex_million_USD_per_year': 0.65, 'direct_use_heat_breakeven_price_USD_per_MMBTU': 20.38}",50.0,100,true,41.78,-87.82,25.0
1000334,Tate & Lyle,681.0,30,20.38,"{'capex_million_USD': 35.06, 'opex_million_USD_per_year': 0.65, 'direct_use_heat_breakeven_price_USD_per_MMBTU': 20.38}",50.0,100,true,39.85,-88.93,25.0
1006425,Cargill Corn Milling North America,644.0,5,20.38,"{'capex_million_USD': 35.06, 'opex_million_USD_per_year': 0.65, 'direct_use_heat_breakeven_price_USD_per_MMBTU': 20.38}",50.0,100,true,41.53,-96.1,25.0
